#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
7F|CV40|-27.30533834|147.2753957|266.4995624|CV40|2013-01-01T00:00:06|2014-11-12T03:17:38
7F|CV41|-27.76545014|147.2934967|203.6253047|CV41|2013-01-01T00:08:24|2014-11-13T04:05:28
7F|CV42|-28.68550962|147.2935428|144.8740362|CV42|2013-01-01T00:05:10|2014-07-31T02:48:29
7F|CV43|-29.15714812|147.2732661|140.9190305|CV43|2013-01-01T00:02:12|2014-07-31T00:21:55
7F|CV44|-29.62084113|147.2872763|120.9680926|CV44|2013-01-01T00:00:26|2014-07-29T04:19:58
7F|CV45|-30.07663808|147.2656249|130.0441607|CV45|2013-01-01T00:11:07|2014-07-29T02:03:12
7F|CW40|-27.30390672|147.8196944|274.9828605|CW40|2013-01-01T00:16:41|2014-11-11T13:37:03
7F|CW41|-27.76841345|147.8417595|232.0247083|CW41|2013-01-01T00:00:27|2014-11-11T23:46:19
7F|CW42|-28.67927007|147.8137687|159.0376304|CW42|2013-09-12T03:12:00|2014-07-31T05:29:26
7F|CW43|-29.16673713|147.8532087|150.9945681|CW43|2012-12-31T23:59:59|2014-07-30T22:45:20
7F|CW44|-29.61259389|147.8297184|133.2487071|CW44|2013-01-01T00:00:07|2014-07-29T06:54:27
7F|CW45|-30.08233207|147.8296797|124.1048789|CW45|2013-01-01T00:00:27|2014-07-29T00:41:23
7F|CW46|-30.47066234|147.8482213|137.0012607|CW46|2013-01-01T00:14:09|2014-07-28T23:20:21
7F|CX40|-27.31112505|148.3322088|282.4542049|CX40|2013-01-01T00:00:44|2014-07-31T04:02:49
7F|CX41|-28.21151448|148.3563342|201.3087934|CX41|2013-01-01T00:00:37|2014-08-01T03:57:35
7F|CX42|-28.68526859|148.351898|180.9038251|CX42|2013-01-01T00:00:00|2014-07-31T07:32:19
7F|CX43|-29.14484584|148.3674535|163.5950022|CX43|2013-01-01T00:00:08|2014-07-30T03:21:46
7F|CX44|-29.61772772|148.3796679|145.493788|CX44|2013-01-01T00:00:36|2014-07-28T23:49:14
7F|CX45|-30.12244866|148.3904724|135.934473|CX45|2013-09-10T00:01:00|2014-10-12T11:20:15
7F|CY40|-27.30486292|148.8814615|240.524083|CY40|2013-01-01T00:00:30|2014-07-31T06:50:03
7F|CY41|-28.24467305|148.8997503|194.2575915|CY41|2013-01-01T00:00:27|2014-08-01T00:58:26
7F|CY42|-28.70589865|148.9129252|174.2114141|CY42|2013-09-12T03:53:00|2014-07-30T06:47:38
7F|CY43|-29.14970276|148.9357412|163.1288124|CY43|2013-01-01T00:00:07|2014-07-30T05:17:28
7F|CY44|-29.62267218|148.9200233|160.875979|CY44|2013-01-01T00:00:15|2014-07-29T01:49:47
7F|CY45|-30.0813513|148.9293854|163.711307|CY45|2013-01-01T00:10:31|2014-07-29T03:49:21
7G|SP26|0.7722|127.367|43.0|7G-SP26|1980-01-01T00:00:00|
7G|CI43|-28.99500184|141.0009621|119.1423437|CI43|2014-09-10T00:23:00|2015-06-14T11:31:20
7G|CI45|-30.10804562|141.0082409|89.43876|CI45|2014-09-08T01:34:00|2015-10-21T00:13:28
7G|CJ47|-30.76773369|141.6647155|162.1685666|CJ47|2014-09-07T23:18:00|2015-10-16T09:18:11
7G|CK40|-27.30588252|141.7821981|132.0338964|CK40|2014-09-12T04:06:00|2016-02-09T21:04:29
7G|CK41|-27.78498704|141.8191838|78.10287842|CK41|2014-09-12T01:29:00|2015-10-23T00:41:43
7G|CK42|-28.71973677|141.8283773|138.7839665|CK42|2015-02-06T03:04:00|2015-09-25T21:10:09
7G|CK43|-29.19738104|141.8592149|165.3972054|CK43|2014-09-09T00:35:00|2015-06-23T04:09:44
7G|CK44|-29.67920338|141.8809947|150.2008615|CK44|2014-09-08T05:38:00|2015-10-08T04:34:45
7G|CK45|-30.17919175|141.8516613|99.02474494|CK45|2014-09-07T04:42:00|2015-09-26T03:15:00
7G|CL40|-27.73248611|142.3853644|95.61839095|CL40|2014-09-12T07:33:00|2015-10-24T00:35:20
7G|CL42|-28.27358978|142.442992|161.7047244|CL42|2014-09-11T01:34:00|2015-10-21T16:01:30
7G|CL44|-29.27308494|142.4119968|98.28814371|CL44|2014-09-09T04:29:00|2015-07-31T04:36:27
7G|CL45|-29.76016604|142.4029546|96.11063334|CL45|2014-09-09T02:20:00|2015-10-16T19:15:08
7G|CL46|-30.2789857|142.4053424|107.2843411|CL46|2015-02-14T01:25:00|2015-10-17T20:00:03
7G|CM40|-27.29984169|143.0566777|122.6508007|CM40|2014-09-12T01:08:00|2015-10-27T11:54:13
7G|CM42|-28.26200474|143.0741202|113.2091124|CM42|2014-09-10T06:25:00|2015-10-10T15:08:05
7G|CM43|-29.22563729|143.0728374|87.40674555|CM43|2014-09-16T01:05:00|2015-05-08T21:50:21
7G|CM44|-29.70027095|143.0545948|106.3235953|CM44|2014-09-09T00:09:00|2015-08-21T00:08:44
7G|CM45|-30.1842966|143.0644757|137.396764|CM45|2014-09-08T01:30:00|2015-10-17T09:07:13
7G|CM46|-30.7478344|142.9298544|153.6614027|CM46|2015-02-04T01:43:00|2015-10-14T12:03:31
7G|CN40|-27.29380213|143.7067208|176.6646097|CN40|2014-05-21T01:48:00|2015-06-24T23:25:08
7G|CN41|-27.77880728|143.7315151|169.7883881|CN41|2014-05-21T22:49:00|2015-10-24T04:02:58
7G|CN42|-28.67968753|143.7209391|178.224469|CN42|2014-05-22T04:26:00|2015-06-24T14:04:43
7G|CN43|-29.17667508|143.7206572|130.0359293|CN43|2014-05-23T01:39:00|2015-05-23T14:48:31
7G|CN44|-29.70708761|143.7159678|173.7598768|CN44|2014-05-23T03:20:00|2015-06-13T02:40:30
7G|CN45|-30.14637196|143.738662|138.7463001|CN45|2014-05-24T00:36:00|2015-06-21T15:50:41
7G|CO46|-30.70201049|143.9636463|86.237532|CO46|2014-05-24T03:56:00|2015-05-26T05:37:02
7G|CP40|-27.31993932|144.3472448|171.2841726|CP40|2014-05-20T04:36:00|2015-10-25T07:02:28
7G|CP41|-28.24602317|144.3584126|155.9483325|CP41|2014-05-20T02:16:00|2015-10-24T21:36:46
7G|CP42|-28.68780063|144.3933416|130.3361534|CP42|2014-05-22T23:32:00|2015-10-18T09:20:46
7G|CP43|-29.20274429|144.3639234|122.5801524|CP43|2014-09-14T00:51:00|2015-06-28T09:17:15
7G|CP44|-29.65872794|144.3350061|106.1701147|CP44|2014-05-23T04:51:00|2015-06-04T14:16:15
7G|CP45|-30.15136981|144.3597417|100.5231769|CP45|2014-09-15T02:04:00|2015-06-29T02:43:33
7G|CQ40|-27.30094878|144.9830001|207.5762816|CQ40|2014-09-15T01:10:00|2015-07-21T04:15:57
7G|CQ41|-27.76569816|144.9715185|218.1829012|CQ41|2014-05-20T06:12:00|2015-10-26T21:29:52
7G|CQ42|-28.68030453|144.964653|153.8|CQ42|2014-09-16T00:34:00|2015-06-22T05:49:04
7G|CQ43|-29.14899123|144.9909202|145.1391332|CQ43|2014-09-16T23:50:00|2015-05-06T06:21:39
7G|CQ44|-29.64461511|145.008667|112.6545555|CQ44|2014-09-17T02:15:00|2014-11-15T00:00:55
7G|CQ45|-30.07303642|145.0122005|104.5438769|CQ45|2014-05-24T01:00:00|2015-06-17T01:08:59
7G|CQ46|-30.68567531|145.0106578|93.52604708|CQ46|2014-05-24T03:33:00|2015-07-03T04:51:25
7G|CR40|-27.31282304|145.6489427|233.3363273|CR40|2014-01-01T00:00:18|2015-10-18T21:19:58
7G|CR41|-28.21586061|145.6605059|178.5705686|CR41|2014-01-01T00:01:24|2015-07-19T05:45:16
7G|CR43|-29.23145648|145.6427287|136.7045389|CR43|2014-01-01T00:00:06|2015-06-15T08:04:35
7G|CR45|-30.07939492|145.6196199|119.0913843|CR45|2014-01-01T00:06:56|2015-03-19T11:14:13
7W|BL01|-19.9264|137.7815|241.0|BL01|2008-09-14T00:19:22|2010-12-20T11:27:59
7W|BL02|-19.871|136.9541|232.0|BL02|2008-09-13T06:12:23|2011-02-19T23:59:59
7W|BL03|-19.7406|136.1458|229.0|BL03|2008-09-13T01:14:07|2009-09-12T01:32:59
7W|BL04|-19.3321|135.371|233.0|BL04|2008-09-12T05:21:25|2009-09-12T06:07:59
7W|BL05|-19.432|134.5445|284.0|BL05|2008-09-12T00:49:51|2009-09-12T23:35:59
7W|BL06|-18.8731|134.0455|305.0|BL06|2008-09-11T01:38:18|2009-09-13T02:11:59
7W|BL07|-19.9213|134.3301|388.0|BL07|2008-09-11T07:01:03|2011-05-16T02:16:59
7W|BL08|-20.5914|134.2961|477.0|BL08|2008-09-10T05:25:56|2011-02-15T12:14:59
7W|BL09|-21.1143|134.025|439.0|BL09|2008-09-10T00:49:27|2011-05-16T04:40:59
7W|BL10|-21.5827|133.7128|488.0|BL10|2008-09-09T07:10:27|2011-05-16T02:06:59
7W|BL11|-22.1527|133.4898|560.0|BL11|2008-09-09T01:26:16|2011-05-17T00:50:59
7W|BL12|-22.7386|133.4806|641.0|BL12|2008-09-08T07:58:16|2011-05-17T04:39:59
7W|BL13|-23.4014|133.4827|669.0|BL13|2008-09-08T01:32:17|2011-05-19T04:35:53
7W|BL14|-23.9299|133.3677|606.0|BL14|2008-09-03T01:10:42|2011-05-18T02:44:59
7W|BL15|-24.3875|133.2872|480.0|BL15|2008-09-02T09:22:51|2011-05-18T07:39:59
